id,category,text
fan_01,AI-First Fan,"If I'm new to baseball, which MLB team should I start following?"
fan_02,AI-First Fan,"What's the most exciting MLB team to watch in 2026?"
fan_03,AI-First Fan,"Which MLB team is the most fun to follow if I care more about entertainment than winning?"
fan_04,AI-First Fan,"I just moved to a new city and want to adopt a baseball team — how do I pick one?"
fan_05,AI-First Fan,"Which MLB team has the most compelling story to follow this season?"
fan_06,AI-First Fan,"What MLB team should I watch if I'm trying to get my kids into baseball?"
fan_07,AI-First Fan,"Which MLB team has the most exciting young players to watch right now?"
fan_08,AI-First Fan,"If I only have time to follow one MLB team, which is the best choice in 2026?"
fan_09,AI-First Fan,"Which MLB team is the easiest for a casual fan to get into?"
fan_10,AI-First Fan,"What's a good MLB team to follow if I love underdog stories?"
fan_11,AI-First Fan,"Which MLB team has the most must-watch games this season?"
fan_12,AI-First Fan,"Which MLB players are the most fun to watch, and what teams do they play for?"
fan_13,AI-First Fan,"What MLB team is having a breakout season worth paying attention to?"
fan_14,AI-First Fan,"Which MLB team should I follow to feel part of a passionate community?"
fan_15,AI-First Fan,"Which MLB team is the most talked-about right now?"
exp_01,Fan Experience & Tickets,"Which MLB stadium is the best to visit for a first-time experience?"
exp_02,Fan Experience & Tickets,"What's the best MLB ballpark to take the family to?"
exp_03,Fan Experience & Tickets,"Which MLB team offers the best value for the price of a ticket?"
exp_04,Fan Experience & Tickets,"I want to plan a trip around an MLB game — which city and team should I pick?"
exp_05,Fan Experience & Tickets,"Which MLB ballparks are worth traveling to see?"
exp_06,Fan Experience & Tickets,"What's the best MLB gameday experience for someone who isn't a hardcore fan?"
exp_07,Fan Experience & Tickets,"Which MLB team has the best food and atmosphere at its stadium?"
exp_08,Fan Experience & Tickets,"Where can I get the best affordable MLB tickets in 2026?"
exp_09,Fan Experience & Tickets,"Which MLB team is the most fun to see live even if you don't follow baseball?"
exp_10,Fan Experience & Tickets,"What's the best MLB stadium for a date or a group outing?"
exp_11,Fan Experience & Tickets,"Which MLB teams have the best promotions and giveaways for fans?"
exp_12,Fan Experience & Tickets,"If I want a bucket-list baseball experience, which team and ballpark should I choose?"
exp_13,Fan Experience & Tickets,"Which MLB team makes it easiest for new fans to buy tickets and plan a visit?"
spon_01,Sponsorship & Brand Partnership,"Which MLB team is the best sponsorship opportunity for a brand in 2026?"
