full_name,w_2025,l_2025,run_diff_2025,standing_2025_rank,valuation_rank,social_followers,standing_source,valuation_source,date_pulled,tiebreak_note
Milwaukee Brewers,97,65,172,1,21,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Philadelphia Phillies,96,66,130,2,7,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Toronto Blue Jays,94,68,,3,14,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 94-68 with NYY; ahead via farther postseason run (AL pennant winner vs lost ALDS)"
New York Yankees,94,68,164,4,1,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 94-68 with TOR"
Los Angeles Dodgers,93,69,142,5,2,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,2025 World Series champion
Chicago Cubs,92,70,144,6,4,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Seattle Mariners,90,72,72,7,15,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 90-72 with SD; ahead via farther postseason run (reached ALCS vs lost Wild Card)"
San Diego Padres,90,72,81,8,10,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 90-72 with SEA"
Boston Red Sox,89,73,110,9,3,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Cleveland Guardians,88,74,-6,10,26,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Detroit Tigers,87,75,67,11,22,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 87-75 with HOU; ahead via postseason berth (HOU missed)"
Houston Astros,87,75,21,12,9,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 87-75 with DET"
Cincinnati Reds,83,79,35,13,29,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 83-79 with NYM; ahead via postseason berth (NYM missed)"
New York Mets,83,79,51,14,6,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 83-79 with CIN"
Kansas City Royals,82,80,14,15,27,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Texas Rangers,81,81,79,16,13,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 81-81 with SF; neither made postseason - broken by run differential (TEX +79 vs SF +21)"
San Francisco Giants,81,81,21,17,5,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 81-81 with TEX; neither made postseason - broken by run differential (SF +21 vs TEX +79)"
Arizona Diamondbacks,80,82,,18,19,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Miami Marlins,79,83,,19,30,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
St. Louis Cardinals,78,84,-65,20,12,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Tampa Bay Rays,77,85,,21,24,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Atlanta Braves,76,86,-10,22,8,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 76-86 with ATH; neither made postseason - broken by run differential (ATL -10 vs ATH -84)"
Athletics,76,86,-84,23,18,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,"tie 76-86 with ATL; neither made postseason - broken by run differential (ATH -84 vs ATL -10)"
Baltimore Orioles,75,87,-111,24,17,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Los Angeles Angels,72,90,-164,25,11,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Pittsburgh Pirates,71,91,-62,26,28,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Minnesota Twins,70,92,-95,27,23,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Washington Nationals,66,96,-212,28,16,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Chicago White Sox,60,102,-95,29,20,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
Colorado Rockies,43,119,-424,30,25,,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,2026-05-29,
