team_id,full_name,aliases,city,ballpark,owner,division,standing_2025_rank,valuation_rank,followers_x,followers_tiktok,followers_instagram,followers_total,standing_source,valuation_source,social_source,date_pulled
BAL,Baltimore Orioles,"Orioles, O's, Birds, Baltimore",Baltimore,Oriole Park at Camden Yards,David Rubenstein-led ownership group (2024),AL East,24,17,839500,352500,796000,1988000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
BOS,Boston Red Sox,"Red Sox, Sox, BoSox, Boston",Boston,Fenway Park,Fenway Sports Group (John Henry),AL East,9,3,2000000,973200,2400000,5373200,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
NYY,New York Yankees,"Yankees, Yanks, Bronx Bombers, Pinstripes, NY Yankees",New York,Yankee Stadium,Yankee Global Enterprises (Hal Steinbrenner),AL East,4,1,3800000,1900000,4200000,9900000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
TBR,Tampa Bay Rays,"Rays, Tampa Bay, Tampa",St. Petersburg,Tropicana Field,Patrick Zalupski-led ownership group (closed Sept 2025),AL East,21,24,644400,426600,557000,1628000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
TOR,Toronto Blue Jays,"Blue Jays, Jays, Toronto",Toronto,Rogers Centre,Rogers Communications,AL East,3,14,2200000,851100,2400000,5451100,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
CWS,Chicago White Sox,"White Sox, ChiSox, South Siders, Chicago White Sox",Chicago,Rate Field,Jerry Reinsdorf,AL Central,29,20,1000000,458700,776000,2234700,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
CLE,Cleveland Guardians,"Guardians, Cleveland, the Guards",Cleveland,Progressive Field,Larry & Paul Dolan,AL Central,10,26,1000000,118000,780000,1898000,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
DET,Detroit Tigers,"Tigers, Detroit, Motor City",Detroit,Comerica Park,Ilitch Holdings (Christopher Ilitch),AL Central,11,22,1400000,491700,1100000,2991700,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
KCR,Kansas City Royals,"Royals, KC, Kansas City",Kansas City,Kauffman Stadium,John Sherman,AL Central,15,27,1000000,397400,1000000,2397400,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
MIN,Minnesota Twins,"Twins, Minnesota, the Twinkies",Minneapolis,Target Field,Pohlad family,AL Central,27,23,659100,268800,605000,1532900,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
HOU,Houston Astros,"Astros, Houston, Stros, 'Stros",Houston,Daikin Park,Jim Crane,AL West,12,9,1900000,452800,1700000,4052800,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
LAA,Los Angeles Angels,"Angels, LA Angels, Anaheim, Halos",Anaheim,Angel Stadium,Arte Moreno,AL West,25,11,1200000,375400,1200000,2775400,"MLB 2025 final regular-season standings; ranked by wins, ties broken by farther 2025 postseason advancement then run differential",Forbes Baseball's Most Valuable Teams 2026 (Teitelbaum) pub 2026-03-20,"team official verified accounts (X, TikTok, Instagram)",2026-05-29
